car_ID,enginetype,fueltype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
57,rotor,gas,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23
58,rotor,gas,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23
59,rotor,gas,two,80,mpfi,3.33,3.255,9.4,135,6000,16,23
60,ohc,gas,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32
61,ohc,gas,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32
62,ohc,gas,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32
63,ohc,gas,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32
64,ohc,diesel,four,122,idi,3.39,3.39,22.7,64,4650,36,42
65,ohc,gas,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32
66,ohc,gas,four,140,mpfi,3.76,3.16,8,120,5000,19,27
67,ohc,diesel,four,134,idi,3.43,3.64,22,72,4200,31,39
68,ohc,diesel,five,183,idi,3.58,3.64,21.5,123,4350,22,25
69,ohc,diesel,five,183,idi,3.58,3.64,21.5,123,4350,22,25
70,ohc,diesel,five,183,idi,3.58,3.64,21.5,123,4350,22,25
71,ohc,diesel,five,183,idi,3.58,3.64,21.5,123,4350,22,25
72,ohcv,gas,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18
73,ohcv,gas,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18
74,ohcv,gas,eight,308,mpfi,3.8,3.35,8,184,4500,14,16
75,ohcv,gas,eight,304,mpfi,3.8,3.35,8,184,4500,14,16
76,ohc,gas,four,140,mpfi,3.78,3.12,8,175,5000,19,24
77,ohc,gas,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41
78,ohc,gas,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38
79,ohc,gas,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38
80,ohc,gas,four,98,spdi,3.03,3.39,7.6,102,5500,24,30
81,ohc,gas,four,110,spdi,3.17,3.46,7.5,116,5500,23,30
82,ohc,gas,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32
83,ohc,gas,four,156,spdi,3.58,3.86,7,145,5000,19,24
84,ohc,gas,four,156,spdi,3.59,3.86,7,145,5000,19,24
85,ohc,gas,four,156,spdi,3.59,3.86,7,145,5000,19,24
86,ohc,gas,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32
87,ohc,gas,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32
88,ohc,gas,four,110,spdi,3.17,3.46,7.5,116,5500,23,30
89,ohc,gas,four,110,spdi,3.17,3.46,7.5,116,5500,23,30
90,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
91,ohc,diesel,four,103,idi,2.99,3.47,21.9,55,4800,45,50
92,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
93,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
94,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
95,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
96,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
97,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
98,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
99,ohc,gas,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37
100,ohc,gas,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34
101,ohc,gas,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34
102,ohcv,gas,six,181,mpfi,3.43,3.27,9,152,5200,17,22
103,ohcv,gas,six,181,mpfi,3.43,3.27,9,152,5200,17,22
104,ohcv,gas,six,181,mpfi,3.43,3.27,9,152,5200,19,25
105,ohcv,gas,six,181,mpfi,3.43,3.27,9,160,5200,19,25
106,ohcv,gas,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23
107,ohcv,gas,six,181,mpfi,3.43,3.27,9,160,5200,19,25
108,l,gas,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24
109,l,diesel,four,152,idi,3.7,3.52,21,95,4150,28,33
110,l,gas,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24
111,l,diesel,four,152,idi,3.7,3.52,21,95,4150,25,25
112,l,gas,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24
113,l,diesel,four,152,idi,3.7,3.52,21,95,4150,28,33
114,l,gas,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24
115,l,diesel,four,152,idi,3.7,3.52,21,95,4150,25,25
116,l,gas,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24
117,l,diesel,four,152,idi,3.7,3.52,21,95,4150,28,33
118,l,gas,four,134,mpfi,3.61,3.21,7,142,5600,18,24
119,ohc,gas,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41
120,ohc,gas,four,98,spdi,3.03,3.39,7.6,102,5500,24,30
121,ohc,gas,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
122,ohc,gas,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
123,ohc,gas,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38
124,ohc,gas,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30
125,ohc,gas,four,156,spdi,3.59,3.86,7,145,5000,19,24
126,ohc,gas,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27
127,ohcf,gas,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25
128,ohcf,gas,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25
129,ohcf,gas,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25
130,dohcv,gas,eight,203,mpfi,3.94,3.11,10,288,5750,17,28
131,ohc,gas,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31
132,ohc,gas,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31
133,ohc,gas,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28
134,ohc,gas,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28
135,ohc,gas,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28
136,ohc,gas,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28
137,dohc,gas,four,121,mpfi,3.54,3.07,9,160,5500,19,26
138,dohc,gas,four,121,mpfi,3.54,3.07,9,160,5500,19,26
139,ohcf,gas,four,97,2bbl,3.62,2.36,9,69,4900,31,36
140,ohcf,gas,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31
141,ohcf,gas,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31
142,ohcf,gas,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37
143,ohcf,gas,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33
144,ohcf,gas,four,108,mpfi,3.62,2.64,9,94,5200,26,32
145,ohcf,gas,four,108,2bbl,3.62,2.64,9,82,4800,24,25
146,ohcf,gas,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29
147,ohcf,gas,four,108,2bbl,3.62,2.64,9,82,4800,28,32
148,ohcf,gas,four,108,mpfi,3.62,2.64,9,94,5200,25,31
149,ohcf,gas,four,108,2bbl,3.62,2.64,9,82,4800,23,29
150,ohcf,gas,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23
151,ohc,gas,four,92,2bbl,3.05,3.03,9,62,4800,35,39
152,ohc,gas,four,92,2bbl,3.05,3.03,9,62,4800,31,38
153,ohc,gas,four,92,2bbl,3.05,3.03,9,62,4800,31,38
154,ohc,gas,four,92,2bbl,3.05,3.03,9,62,4800,31,37
155,ohc,gas,four,92,2bbl,3.05,3.03,9,62,4800,27,32
156,ohc,gas,four,92,2bbl,3.05,3.03,9,62,4800,27,32
157,ohc,gas,four,98,2bbl,3.19,3.03,9,70,4800,30,37
158,ohc,gas,four,98,2bbl,3.19,3.03,9,70,4800,30,37
159,ohc,diesel,four,110,idi,3.27,3.35,22.5,56,4500,34,36
160,ohc,diesel,four,110,idi,3.27,3.35,22.5,56,4500,38,47
161,ohc,gas,four,98,2bbl,3.19,3.03,9,70,4800,38,47
162,ohc,gas,four,98,2bbl,3.19,3.03,9,70,4800,28,34
163,ohc,gas,four,98,2bbl,3.19,3.03,9,70,4800,28,34
164,ohc,gas,four,98,2bbl,3.19,3.03,9,70,4800,29,34
165,ohc,gas,four,98,2bbl,3.19,3.03,9,70,4800,29,34
166,dohc,gas,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29
167,dohc,gas,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29
168,ohc,gas,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
169,ohc,gas,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
170,ohc,gas,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
171,ohc,gas,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
172,ohc,gas,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
173,ohc,gas,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
174,ohc,gas,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34
175,ohc,diesel,four,110,idi,3.27,3.35,22.5,73,4500,30,33
176,ohc,gas,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32
177,ohc,gas,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32
178,ohc,gas,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32
179,dohc,gas,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24
180,dohc,gas,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24
181,dohc,gas,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24
182,dohc,gas,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24
183,ohc,diesel,four,97,idi,3.01,3.4,23,52,4800,37,46
184,ohc,gas,four,109,mpfi,3.19,3.4,9,85,5250,27,34
185,ohc,diesel,four,97,idi,3.01,3.4,23,52,4800,37,46
186,ohc,gas,four,109,mpfi,3.19,3.4,9,85,5250,27,34
187,ohc,gas,four,109,mpfi,3.19,3.4,9,85,5250,27,34
188,ohc,diesel,four,97,idi,3.01,3.4,23,68,4500,37,42
189,ohc,gas,four,109,mpfi,3.19,3.4,10,100,5500,26,32
190,ohc,gas,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29
191,ohc,gas,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29
192,ohc,gas,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24
193,ohc,diesel,four,97,idi,3.01,3.4,23,68,4500,33,38
194,ohc,gas,four,109,mpfi,3.19,3.4,9,88,5500,25,31
195,ohc,gas,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28
196,ohc,gas,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28
197,ohc,gas,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28
198,ohc,gas,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28
199,ohc,gas,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22
200,ohc,gas,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22
201,ohc,gas,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28
202,ohc,gas,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25
203,ohcv,gas,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23
204,ohc,diesel,six,145,idi,3.01,3.4,23,106,4800,26,27
205,ohc,gas,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25
